model,lang,n_words,n_mis_orig,prop_mis_orig,n_used_orig,prop_used_orig,n_mis_1,prop_mis_1,n_used_1,prop_used_1,n_mis_2,prop_mis_2,n_used_2,prop_used_2,n_mis_3,prop_mis_3,n_used_3,prop_used_3,diff_entropy,cond_ent_0,cond_ent_1,cond_ent_2,cond_ent_3,mi_0,mi_1,mi_2,mi_3
mbert,de,47763,12106,0.25,47763,1.0,9887,0.21,45544,0.95,5815,0.12,41472,0.87,0,0.0,35657,0.75,10.19,9.66,9.6,9.56,9.34,0.53,0.59,0.63,0.85
mbert,en,47650,5988,0.13,47650,1.0,5577,0.12,47239,0.99,3793,0.08,45455,0.95,0,0.0,41662,0.87,9.49,8.75,8.72,8.66,8.6,0.74,0.77,0.83,0.89
mbert,fr,27953,5349,0.19,27953,1.0,4796,0.17,27400,0.98,2948,0.11,25552,0.91,0,0.0,22604,0.81,9.81,8.95,8.94,8.83,8.76,0.86,0.87,0.98,1.05
mbert,it,38962,9333,0.24,38962,1.0,8668,0.22,38297,0.98,5390,0.14,35019,0.9,0,0.0,29629,0.76,9.79,9.13,9.1,8.99,8.79,0.66,0.69,0.8,1.0
mbert,ja,54163,21258,0.39,54163,1.0,20285,0.37,53190,0.98,18038,0.33,50943,0.94,0,0.0,32905,0.61,9.25,8.49,8.47,8.42,7.84,0.76,0.78,0.83,1.41
mbert,kor,6814,5270,0.77,6814,1.0,4469,0.66,6013,0.88,2526,0.37,4070,0.6,0,0.0,1544,0.23,10.63,10.45,10.51,10.39,10.39,0.18,0.12,0.24,0.24
mbert,sr,18607,7261,0.39,18607,1.0,6367,0.34,17713,0.95,4249,0.23,15595,0.84,0,0.0,11346,0.61,7.23,4.01,4.05,4.13,4.56,3.22,3.18,3.1,2.67
mbert,sv,38587,13310,0.34,38587,1.0,11576,0.3,36853,0.96,7403,0.19,32680,0.85,0,0.0,25277,0.66,9.75,9.23,9.22,9.13,8.75,0.52,0.53,0.62,1.0
mbert,th,41292,31629,0.77,41292,1.0,23792,0.58,33455,0.81,11844,0.29,21507,0.52,0,0.0,9663,0.23,9.49,8.54,8.57,8.3,8.24,0.95,0.92,1.19,1.25
mbert,vi,37155,7270,0.2,37155,1.0,7243,0.19,37128,1.0,6326,0.17,36211,0.97,0,0.0,29885,0.8,10.32,9.98,10.01,9.89,9.94,0.34,0.31,0.43,0.38
mbert,zh,35021,19425,0.55,35021,1.0,18360,0.52,33956,0.97,15677,0.45,31273,0.89,0,0.0,15596,0.45,10.29,9.82,9.82,9.74,8.73,0.47,0.47,0.55,1.56
mbert,yue,36077,9401,0.26,36077,1.0,9291,0.26,35967,1.0,8441,0.23,35117,0.97,0,0.0,26676,0.74,8.7,7.92,7.95,7.98,7.94,0.78,0.75,0.72,0.76
mgpt,de,47763,12551,0.26,47763,1.0,11311,0.24,46523,0.97,7740,0.16,42952,0.9,0,0.0,35212,0.74,10.19,9.73,9.75,9.61,9.03,0.46,0.44,0.58,1.16
mgpt,en,47650,6512,0.14,47650,1.0,6229,0.13,47367,0.99,4750,0.1,45888,0.96,0,0.0,41138,0.86,9.49,8.76,8.82,8.72,8.28,0.73,0.67,0.77,1.21
mgpt,fr,27953,5710,0.2,27953,1.0,5389,0.19,27632,0.99,4048,0.14,26291,0.94,0,0.0,22243,0.8,9.81,9.11,9.12,8.92,8.18,0.7,0.69,0.89,1.63
mgpt,it,38962,10455,0.27,38962,1.0,10095,0.26,38602,0.99,7826,0.2,36333,0.93,0,0.0,28507,0.73,9.79,9.19,9.23,9.01,8.0,0.6,0.56,0.78,1.79
mgpt,ja,54163,33480,0.62,54163,1.0,31722,0.59,52405,0.97,23731,0.44,44414,0.82,0,0.0,20683,0.38,9.25,8.55,8.59,8.58,8.26,0.7,0.66,0.67,0.99
mgpt,kor,6814,5710,0.84,6814,1.0,4328,0.64,5432,0.8,2225,0.33,3329,0.49,0,0.0,1104,0.16,10.63,10.56,10.45,10.41,9.9,0.07,0.18,0.22,0.73
mgpt,sv,38587,14221,0.37,38587,1.0,12883,0.33,37249,0.97,8920,0.23,33286,0.86,0,0.0,24366,0.63,9.75,9.48,9.39,9.23,8.71,0.27,0.36,0.52,1.04
mgpt,sr,18607,11709,0.63,18607,1.0,7717,0.41,14615,0.79,5657,0.3,12555,0.67,0,0.0,6898,0.37,7.23,6.39,4.81,5.03,5.72,0.84,2.42,2.2,1.51
mgpt,th,41292,32144,0.78,41292,1.0,25993,0.63,35141,0.85,11692,0.28,20840,0.5,0,0.0,9148,0.22,9.49,8.81,8.79,8.57,8.42,0.68,0.7,0.92,1.07
mgpt,vi,37155,9686,0.26,37155,1.0,9664,0.26,37133,1.0,9068,0.24,36537,0.98,0,0.0,27469,0.74,10.32,10.04,9.9,9.84,9.13,0.28,0.42,0.48,1.19
mgpt,yue,36077,29264,0.81,36077,1.0,28068,0.78,34881,0.97,17080,0.47,23893,0.66,0,0.0,6813,0.19,8.7,8.03,8.14,8.22,8.54,0.67,0.56,0.48,0.16
mgpt,zh,35021,26793,0.77,35021,1.0,23293,0.67,31521,0.9,16059,0.46,24287,0.69,0,0.0,8228,0.23,10.29,9.83,9.86,9.77,9.41,0.46,0.43,0.52,0.88
